Name,ISO,UN_Region,UN_Subregion,WB_Income_Group,HDI_Group,UNFCCC,G7,G20,G77,LDC,SIDS,AOSIS,BASIC,BRICS,EU27,ETS,OPEC,Arab_States,Cartagena,Umbrella,MAC_MIT,MAC_McKinsey,MAC_GCAM,RCP_IIASA
Afghanistan,AFG,Asia,Southern Asia,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ROW,rdASI,SASI,ASIA
Albania,ALB,Europe,Southern Europe,UMC,Hi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROW,rEET,EnEU,REF
Algeria,DZA,Africa,Northern Africa,LMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,MES,MESm,AFRN,MAF
Angola,AGO,Africa,Sub-Saharan Africa,LMC,Med HDI,Non-Annex 1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,AFR,rAFR,AFRS,MAF
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,HIC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,ROW,rLAM,CAC,LAMi
Argentina,ARG,Americas,Latin America and the Caribbean,UMC,VHi HDI,Non-Annex 1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,LAM,rLAM,ARGg,LAMi
Armenia,ARM,Asia,Western Asia,UMC,Hi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FSU,rdASI,CASI,REF
Aruba,ABW,Americas,Latin America and the Caribbean,HIC,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ROW,rLAM,CAC,LAMi
Australia,AUS,Oceania,Australia and New Zealand,HIC,VHi HDI,Annex 1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,ANZ,rOECDP,ANZg,OECD90
Austria,AUT,Europe,Western Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EUR,rEUR,EU15,OECD90
Azerbaijan,AZE,Asia,Western Asia,UMC,Hi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FSU,rdASI,CASI,REF
Bahamas,BHS,Americas,Latin America and the Caribbean,HIC,VHi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ROW,rLAM,CAC,LAMi
Bahrain,BHR,Asia,Western Asia,HIC,VHi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MES,MESm,MESg,MAF
Bangladesh,BGD,Asia,Southern Asia,LMC,Med HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,ROW,rdASI,SEASI,ASIA
Barbados,BRB,Americas,Latin America and the Caribbean,HIC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ROW,rLAM,CAC,LAMi
Belarus,BLR,Europe,Eastern Europe,UMC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FSU,rEET,EEUR,REF
Belgium,BEL,Europe,Western Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,EUR,rEUR,EU12,OECD90
Belize,BLZ,Americas,Latin America and the Caribbean,UMC,Med HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,LAM,rLAM,CAC,LAMi
Benin,BEN,Africa,Sub-Saharan Africa,LMC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Bermuda,BMU,Americas,Northern America,HIC,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROW,USAm,EU12,LAMi
Bhutan,BTN,Asia,Southern Asia,LMC,Med HDI,Non-Annex 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ROW,rdASI,SASI,ASIA
Bolivia,BOL,Americas,Latin America and the Caribbean,LMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LAM,rLAM,SASI,LAMi
Bosnia and Herzegovina,BIH,Europe,Southern Europe,UMC,Hi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROW,rEET,EnEU,REF
Botswana,BWA,Africa,Sub-Saharan Africa,UMC,Med HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRS,MAF
Brazil,BRA,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,LAM,BRA,BRAg,LAMi
Brunei Darussalam,BRN,Asia,South-eastern Asia,HIC,VHi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASI,rdASI,SEASI,ASIA
Bulgaria,BGR,Europe,Eastern Europe,UMC,Hi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EET,rEUR,EEUR,REF
Burkina Faso,BFA,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Burundi,BDI,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRE,MAF
Côte d'Ivoire,CIV,Africa,Sub-Saharan Africa,LMC,Med HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Cabo Verde,CPV,Africa,Sub-Saharan Africa,LMC,Med HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Cambodia,KHM,Asia,South-eastern Asia,LMC,Med HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ROW,rdASI,SEASI,ASIA
Cameroon,CMR,Africa,Sub-Saharan Africa,LMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
